i, live, q0, q1, q2, q3, q4
-0093, -0093, -0096, -0096, -0096, -0096, -0096
-0092, -0092, -0096, -0096, -0096, -0096, -0090
-0091, -0091, -0096, -0096, -0096, -0096, -0090
-0090, -0090, -0096, -0096, -0096, -0096, -0090
-0089, -0089, -0096, -0096, -0096, -0084, -0090
-0088, -0088, -0096, -0096, -0096, -0084, -0090
-0087, -0087, -0096, -0096, -0096, -0084, -0090
-0086, -0086, -0096, -0096, -0096, -0084, -0084
-0085, -0085, -0096, -0096, -0096, -0084, -0084
-0084, -0084, -0096, -0096, -0096, -0084, -0084
-0083, -0083, -0096, -0096, -0072, -0084, -0084
-0082, -0082, -0096, -0096, -0072, -0084, -0084
-0081, -0081, -0096, -0096, -0072, -0084, -0084
-0080, -0080, -0096, -0096, -0072, -0084, -0078
-0079, -0079, -0096, -0096, -0072, -0084, -0078
-0078, -0078, -0096, -0096, -0072, -0084, -0078
-0077, -0077, -0096, -0096, -0072, -0072, -0078
-0076, -0076, -0096, -0096, -0072, -0072, -0078
-0075, -0075, -0096, -0096, -0072, -0072, -0078
-0074, -0074, -0096, -0096, -0072, -0072, -0072
-0073, -0073, -0096, -0096, -0072, -0072, -0072
-0072, -0072, -0096, -0096, -0072, -0072, -0072
-0071, -0071, -0096, -0048, -0072, -0072, -0072
-0070, -0070, -0096, -0048, -0072, -0072, -0072
-0069, -0069, -0096, -0048, -0072, -0072, -0072
-0068, -0068, -0096, -0048, -0072, -0072, -0066
-0067, -0067, -0096, -0048, -0072, -0072, -0066
-0066, -0066, -0096, -0048, -0072, -0072, -0066
-0065, -0065, -0096, -0048, -0072, -0060, -0066
-0064, -0064, -0096, -0048, -0072, -0060, -0066
-0063, -0063, -0096, -0048, -0072, -0060, -0066
-0062, -0062, -0096, -0048, -0072, -0060, -0060
-0061, -0061, -0096, -0048, -0072, -0060, -0060
-0060, -0060, -0096, -0048, -0072, -0060, -0060
-0059, -0059, -0096, -0048, -0048, -0060, -0060
-0058, -0058, -0096, -0048, -0048, -0060, -0060
-0057, -0057, -0096, -0048, -0048, -0060, -0060
-0056, -0056, -0096, -0048, -0048, -0060, -0054
-0055, -0055, -0096, -0048, -0048, -0060, -0054
-0054, -0054, -0096, -0048, -0048, -0060, -0054
-0053, -0053, -0096, -0048, -0048, -0048, -0054
-0052, -0052, -0096, -0048, -0048, -0048, -0054
-0051, -0051, -0096, -0048, -0048, -0048, -0054
-0050, -0050, -0096, -0048, -0048, -0048, -0048
-0049, -0049, -0096, -0048, -0048, -0048, -0048
-0048, -0048, -0096, -0048, -0048, -0048, -0048
-0047, -0047, 00000, -0048, -0048, -0048, -0048
-0046, -0046, 00000, -0048, -0048, -0048, -0048
-0045, -0045, 00000, -0048, -0048, -0048, -0048
-0044, -0044, 00000, -0048, -0048, -0048, -0042
-0043, -0043, 00000, -0048, -0048, -0048, -0042
-0042, -0042, 00000, -0048, -0048, -0048, -0042
-0041, -0041, 00000, -0048, -0048, -0036, -0042
-0040, -0040, 00000, -0048, -0048, -0036, -0042
-0039, -0039, 00000, -0048, -0048, -0036, -0042
-0038, -0038, 00000, -0048, -0048, -0036, -0036
-0037, -0037, 00000, -0048, -0048, -0036, -0036
-0036, -0036, 00000, -0048, -0048, -0036, -0036
-0035, -0035, 00000, -0048, -0024, -0036, -0036
-0034, -0034, 00000, -0048, -0024, -0036, -0036
-0033, -0033, 00000, -0048, -0024, -0036, -0036
-0032, -0032, 00000, -0048, -0024, -0036, -0030
-0031, -0031, 00000, -0048, -0024, -0036, -0030
-0030, -0030, 00000, -0048, -0024, -0036, -0030
-0029, -0029, 00000, -0048, -0024, -0024, -0030
-0028, -0028, 00000, -0048, -0024, -0024, -0030
-0027, -0027, 00000, -0048, -0024, -0024, -0030
-0026, -0026, 00000, -0048, -0024, -0024, -0024
-0025, -0025, 00000, -0048, -0024, -0024, -0024
-0024, -0024, 00000, -0048, -0024, -0024, -0024
-0023, -0023, 00000, 00000, -0024, -0024, -0024
-0022, -0022, 00000, 00000, -0024, -0024, -0024
-0021, -0021, 00000, 00000, -0024, -0024, -0024
-0020, -0020, 00000, 00000, -0024, -0024, -0018
-0019, -0019, 00000, 00000, -0024, -0024, -0018
-0018, -0018, 00000, 00000, -0024, -0024, -0018
-0017, -0017, 00000, 00000, -0024, -0012, -0018
-0016, -0016, 00000, 00000, -0024, -0012, -0018
-0015, -0015, 00000, 00000, -0024, -0012, -0018
-0014, -0014, 00000, 00000, -0024, -0012, -0012
-0013, -0013, 00000, 00000, -0024, -0012, -0012
-0012, -0012, 00000, 00000, -0024, -0012, -0012
-0011, -0011, 00000, 00000, 00000, -0012, -0012
-0010, -0010, 00000, 00000, 00000, -0012, -0012
-0009, -0009, 00000, 00000, 00000, -0012, -0012
-0008, -0008, 00000, 00000, 00000, -0012, -0006
-0007, -0007, 00000, 00000, 00000, -0012, -0006
-0006, -0006, 00000, 00000, 00000, -0012, -0006
-0005, -0005, 00000, 00000, 00000, 00000, -0006
-0004, -0004, 00000, 00000, 00000, 00000, -0006
-0003, -0003, 00000, 00000, 00000, 00000, -0006
-0002, -0002, 00000, 00000, 00000, 00000, 00000
-0001, -0001, 00000, 00000, 00000, 00000, 00000
00000, 00000, 00000, 00000, 00000, 00000, 00000
00001, 00001, 00000, 00000, 00000, 00000, 00000
00002, 00002, 00000, 00000, 00000, 00000, 00000
00003, 00003, 00000, 00000, 00000, 00000, 00006
00004, 00004, 00000, 00000, 00000, 00000, 00006
00005, 00005, 00000, 00000, 00000, 00000, 00006
00006, 00006, 00000, 00000, 00000, 00012, 00006
00007, 00007, 00000, 00000, 00000, 00012, 00006
00008, 00008, 00000, 00000, 00000, 00012, 00006
00009, 00009, 00000, 00000, 00000, 00012, 00012
